SUBID,ses,analysis,stats,TCK,tck_mean,tck_std,tck_min,tck_max,tck_count
S017,T02,AL_07,74.3303528 5.50589323 58.7533836 91.5434113 3705 ,L_Area_anterior_47r,74.3303528,5.50589323,58.7533836,91.5434113,3705
S017,T02,AL_07,68.0864639 4.65126991 52.5508881 84.3840179 2691 ,L_Area_47m,68.08646390000001,4.65126991,52.55088810000001,84.3840179,2691
S017,T02,AL_07,68.2408981 7.70159101 45.5388832 93.9793777 3171 ,L_Area_47s,68.2408981,7.70159101,45.53888320000001,93.9793777,3171
S017,T02,AL_07,61.2948723 5.79032564 47.1335831 78.5959244 1054 ,L_Area_13l,61.2948723,5.79032564,47.1335831,78.5959244,1054
S017,T02,AL_07,68.3845673 8.01130104 51.4660187 97.430336 1439 ,L_Orbital_Frontal_Complex,68.3845673,8.01130104,51.466018700000006,97.430336,1439
S017,T02,AL_07,33.3719788 6.74407959 20.1905479 47.2488632 2546 ,L_posterior_OFC_Complex,33.3719788,6.74407959,20.1905479,47.2488632,2546
S017,T02,AL_07,65.2407532 10.9788952 49.8502274 109.707756 1124 ,L_Area_44,65.2407532,10.978895199999998,49.850227399999994,109.707756,1124
S017,T02,AL_07,74.3738861 7.21770906 54.0956192 96.5912857 3928 ,L_Area_45,74.37388609999999,7.21770906,54.0956192,96.59128570000001,3928
S017,T02,AL_07,76.2434082 5.57285929 59.4889412 92.2574844 3590 ,L_Area_47l,76.2434082,5.57285929,59.4889412,92.25748440000001,3590
S017,T02,AL_07,71.4189224 5.52155113 57.0707207 88.3083572 3973 ,L_Area_posterior_47r,71.4189224,5.52155113,57.0707207,88.3083572,3973
S017,T02,AL_07,69.1341095 7.37364101 51.8381729 91.6051025 4156 ,L_Area__IFSa,69.1341095,7.37364101,51.838172899999996,91.6051025,4156
S017,T02,AL_07,68.8854446 4.20705509 55.1348991 83.3197708 2078 ,L_Area_IFSp,68.8854446,4.20705509,55.134899100000005,83.3197708,2078
S017,T02,AL_07,85.8259583 15.5189524 51.0933151 109.53698 178 ,L_Area_IFJa,85.8259583,15.5189524,51.0933151,109.53698,178
S017,T02,AL_07,55.7351837 5.02245855 42.1173134 69.6833038 134 ,L_Area_IFJp,55.73518370000001,5.02245855,42.11731339999999,69.68330379999999,134
S017,T02,AL_07,77.2182312 5.20074606 61.5045509 93.592247 4169 ,L_Area_9_anterior,77.2182312,5.20074606,61.5045509,93.592247,4169
S017,T02,AL_07,71.6465225 4.80175877 57.4472542 87.5680313 3200 ,L_Area_9_Posterior,71.6465225,4.80175877,57.4472542,87.5680313,3200
S017,T02,AL_07,62.7258148 5.37135792 45.1688118 80.7294464 3925 ,L_Area_8Ad,62.725814799999995,5.37135792,45.16881179999999,80.7294464,3925
S017,T02,AL_07,68.4360809 3.93156576 56.0554199 81.4638824 3775 ,L_Area_9-46d,68.43608090000001,3.93156576,56.055419900000004,81.4638824,3775
S017,T02,AL_07,73.3067627 5.79261971 59.0885963 92.5725403 4066 ,L_Area_anterior_9-46v,73.3067627,5.79261971,59.0885963,92.5725403,4066
S017,T02,AL_07,66.6072235 4.14491034 54.1814537 79.7100525 2964 ,L_Area_46,66.6072235,4.14491034,54.1814537,79.7100525,2964
S017,T02,AL_07,64.3019028 6.2962184 50.7796593 84.2758713 3014 ,L_Area_posterior_9-46v,64.3019028,6.2962184,50.7796593,84.2758713,3014
S017,T02,AL_07,60.379055 6.56645012 42.910614 83.9519501 1705 ,L_Area_8C,60.37905500000001,6.56645012,42.910614,83.95195009999999,1705
S017,T02,AL_07,62.3711662 4.64015055 49.8202553 77.8047256 3937 ,L_Area_8Av,62.371166200000005,4.64015055,49.82025529999999,77.8047256,3937
S017,T02,AL_07,60.3763237 5.61403513 44.5229683 77.6787338 3080 ,L_Inferior_6-8_Transitional_Area,60.37632370000001,5.61403513,44.522968299999995,77.6787338,3080
S017,T02,AL_07,65.2294083 5.61283207 50.4500999 82.3833847 4056 ,L_Superior_6-8_Transitional_Area,65.2294083,5.61283207,50.4500999,82.38338470000001,4056
S017,T02,AL_07,69.7468567 4.95484686 56.8051109 85.673439 4433 ,L_Superior_Frontal_Language_Area,69.74685670000001,4.95484686,56.805110899999995,85.673439,4433
S017,T02,AL_07,73.3903198 5.03480005 58.0182076 88.324791 4026 ,L_Area_8B_Lateral,73.3903198,5.03480005,58.0182076,88.324791,4026
S017,T02,AL_07,101.518951 14.5473385 68.7592087 148.357437 1112 ,R_RetroSplenial_Complex,101.518951,14.5473385,68.7592087,148.357437,1112
S017,T02,AL_07,122.685638 13.8982821 89.094574 167.712402 844 ,ctx_rh_G_cingul-Post-dorsal_AND_ctx_rh_G_cingul-Post-ventral,122.68563799999998,13.8982821,89.094574,167.712402,844
S017,T02,AL_07,189.425003 10.1729355 175.68161 203.678299 9 ,R_Entorhinal_Cortex,189.425003,10.1729355,175.68161,203.678299,9
S017,T02,AL_07,63.4508972 6.23249865 46.5465546 83.636528 2083 ,ctx_rh_G_and_S_cingul-Ant,63.45089720000001,6.23249865,46.5465546,83.636528,2083
S017,T02,AL_07,20.0338554 4.50445843 10.0005798 32.3005676 5978 ,Right-MammillaryBody,20.033855399999997,4.50445843,10.0005798,32.3005676,5978
S017,T02,AL_07,36.6494865 3.47513127 26.9003086 48.8077011 3498 ,Right-Basal-nucleus_AND_Right-Lateral-nucleus,36.6494865,3.47513127,26.900308600000002,48.8077011,3498
S017,T02,AL_07,58.089077 5.10851812 43.5353127 75.7045441 2761 ,R_Area_TG_dorsal,58.089077,5.10851812,43.535312700000006,75.70454409999999,2761
S017,T02,AL_07,70.8218002 7.34156275 50.1092072 93.7130356 3564 ,R_Area_8BM,70.8218002,7.34156275,50.10920720000001,93.7130356,3564
S017,T02,AL_07,80.9966583 5.97421312 57.7604866 99.1506958 3945 ,R_Area_9_Middle,80.99665829999999,5.97421312,57.76048660000001,99.1506958,3945
S017,T02,AL_07,68.4322433 5.21885824 53.5062332 85.5018921 2322 ,R_Area_10r,68.4322433,5.21885824,53.506233200000004,85.50189209999999,2322
S017,T02,AL_07,78.6709137 5.13272762 64.3964462 92.3162918 1495 ,R_Area_10v,78.6709137,5.13272762,64.3964462,92.31629179999999,1495
S017,T02,AL_07,27.5787811 4.56775761 20.0084877 40.7806892 2468 ,R_Area_25,27.578781099999997,4.56775761,20.008487699999996,40.780689200000005,2468
S017,T02,AL_07,72.4027481 8.04457474 53.4242706 100.960358 2926 ,R_Area_p32,72.4027481,8.04457474,53.4242706,100.960358,2926
S017,T02,AL_07,100.520493 10.6580162 73.7022324 135.204865 283 ,R_Area_s32,100.520493,10.6580162,73.7022324,135.20486499999998,283
S017,T02,AL_07,81.1079636 4.36813879 66.9847565 95.6008759 3792 ,R_Area_10d,81.10796359999999,4.36813879,66.98475649999999,95.6008759,3792
S017,T02,AL_07,72.949913 5.79405928 57.1532898 91.5736465 4256 ,R_Area_posterior_10p,72.949913,5.79405928,57.153289799999996,91.5736465,4256
S017,T02,AL_07,71.640564 4.26612902 60.0638351 85.7781601 3567 ,R_Area_anterior_10p,71.640564,4.26612902,60.063835100000006,85.7781601,3567
S017,T02,AL_07,75.4698257 4.73063087 62.3410149 89.3918304 2731 ,R_Polar_10p,75.4698257,4.73063087,62.3410149,89.3918304,2731
S017,T02,AL_07,67.5871124 5.5584116 48.8674126 86.3447723 2895 ,R_Area_11l,67.58711240000001,5.5584115999999995,48.8674126,86.3447723,2895
S017,T02,AL_07,71.5973969 4.83722019 54.1658669 87.3928986 3869 ,R_Area_anterior_47r,71.5973969,4.83722019,54.1658669,87.3928986,3869
S017,T02,AL_07,61.1124153 4.40787125 49.1558495 76.3309708 1609 ,R_Area_47m,61.112415299999995,4.40787125,49.1558495,76.3309708,1609
S017,T02,AL_07,76.0041275 5.2118063 60.4548988 93.5668411 2111 ,R_Area_47s,76.0041275,5.211806299999999,60.4548988,93.56684109999999,2111
