SUBID,TCK,corr,btw,analysis
41TPEF4693,R_Area_25,0.8449525977124838,T01vsT02,AL_07_fix
07CAMINO6124,R_Area_25,0.8761656894156988,T01vsT02,AL_07_fix
S038,L_posterior_OFC_Complex,0.8291306913864717,T01vsT02,AL_07_fix
S037,L_posterior_OFC_Complex,0.9726297357218172,T01vsT02,AL_07_fix
S036,L_posterior_OFC_Complex,0.805226390243404,T01vsT02,AL_07_fix
S035,L_posterior_OFC_Complex,0.6515116789500779,T01vsT02,AL_07_fix
S034,L_posterior_OFC_Complex,0.9621121183440797,T01vsT02,AL_07_fix
S033,L_posterior_OFC_Complex,0.33960632522487705,T01vsT02,AL_07_fix
S032,L_posterior_OFC_Complex,0.9647791360340082,T01vsT02,AL_07_fix
S031,L_posterior_OFC_Complex,0.6034366462312384,T01vsT02,AL_07_fix
TOT7729F,L_posterior_OFC_Complex,0.5382312004405349,T01vsT02,AL_07_fix
S029,L_posterior_OFC_Complex,0.8744915795178502,T01vsT02,AL_07_fix
S028,L_posterior_OFC_Complex,0.9831966138333545,T01vsT02,AL_07_fix
S027,L_posterior_OFC_Complex,0.8629351467376876,T01vsT02,AL_07_fix
S025,L_posterior_OFC_Complex,0.08192365388039542,T01vsT02,AL_07_fix
S024,L_posterior_OFC_Complex,0.36532188916716135,T01vsT02,AL_07_fix
S023,L_posterior_OFC_Complex,0.9924097126760435,T01vsT02,AL_07_fix
S022,L_posterior_OFC_Complex,0.3109320443040367,T01vsT02,AL_07_fix
S021,L_posterior_OFC_Complex,0.19687902051112363,T01vsT02,AL_07_fix
S020,L_posterior_OFC_Complex,0.5586104973717666,T01vsT02,AL_07_fix
S018,L_posterior_OFC_Complex,0.9888142425732739,T01vsT02,AL_07_fix
S017,L_posterior_OFC_Complex,0.5319701997873878,T01vsT02,AL_07_fix
S016,L_posterior_OFC_Complex,0.9709078248558539,T01vsT02,AL_07_fix
26CAMINO3920,L_posterior_OFC_Complex,0.9765701191354471,T01vsT02,AL_07_fix
41TPEF4693,L_posterior_OFC_Complex,0.9122093591568615,T01vsT02,AL_07_fix
07CAMINO6124,L_posterior_OFC_Complex,0.7358739212971189,T01vsT02,AL_07_fix
S038,R_posterior_OFC_Complex,0.817084084630898,T01vsT02,AL_07_fix
S037,R_posterior_OFC_Complex,0.9946834485151284,T01vsT02,AL_07_fix
S036,R_posterior_OFC_Complex,0.34892177762500043,T01vsT02,AL_07_fix
S035,R_posterior_OFC_Complex,0.7827140597507176,T01vsT02,AL_07_fix
S034,R_posterior_OFC_Complex,0.8786909264504595,T01vsT02,AL_07_fix
S033,R_posterior_OFC_Complex,0.3252860897195487,T01vsT02,AL_07_fix
S032,R_posterior_OFC_Complex,0.9850154045890062,T01vsT02,AL_07_fix
S031,R_posterior_OFC_Complex,0.6183363146963378,T01vsT02,AL_07_fix
TOT7729F,R_posterior_OFC_Complex,0.3210878356005756,T01vsT02,AL_07_fix
S029,R_posterior_OFC_Complex,0.7351419937444995,T01vsT02,AL_07_fix
S028,R_posterior_OFC_Complex,0.9560556119295384,T01vsT02,AL_07_fix
S027,R_posterior_OFC_Complex,0.9905910271915502,T01vsT02,AL_07_fix
S025,R_posterior_OFC_Complex,0.9638087995109298,T01vsT02,AL_07_fix
S024,R_posterior_OFC_Complex,0.7905223081931301,T01vsT02,AL_07_fix
