SUBID,TCK,corr,btw,analysis,SUBID2
S027,Left-MammillaryBody,0.3171056703761427,T01vsT02,AL_07,
S025,Left-MammillaryBody,0.7953172513594986,T01vsT02,AL_07,
S024,Left-MammillaryBody,0.17351666358344825,T01vsT02,AL_07,
S023,Left-MammillaryBody,0.989418716333755,T01vsT02,AL_07,
S022,Left-MammillaryBody,0.24471886668481999,T01vsT02,AL_07,
S021,Left-MammillaryBody,0.08519772105934138,T01vsT02,AL_07,
S020,Left-MammillaryBody,0.6304102930429369,T01vsT02,AL_07,
S018,Left-MammillaryBody,0.7519804818264182,T01vsT02,AL_07,
S017,Left-MammillaryBody,0.1827755813254032,T01vsT02,AL_07,
S016,Left-MammillaryBody,0.11944607293718675,T01vsT02,AL_07,
26CAMINO3920,Left-MammillaryBody,-0.4312126110970553,T01vsT02,AL_07,
41TPEF4693,Left-MammillaryBody,0.781749724995079,T01vsT02,AL_07,
07CAMINO6124,Left-MammillaryBody,0.8977663918545706,T01vsT02,AL_07,
S038,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9400281817686059,T01vsT02,AL_07,
S037,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9877053778135256,T01vsT02,AL_07,
S036,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.968412292783208,T01vsT02,AL_07,
S035,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.8707966102411645,T01vsT02,AL_07,
S034,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9174522279089672,T01vsT02,AL_07,
S033,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9404837897368564,T01vsT02,AL_07,
S032,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.947745851923824,T01vsT02,AL_07,
S031,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.7658348640363023,T01vsT02,AL_07,
TOT7729F,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.5015142766107639,T01vsT02,AL_07,
S029,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.4199194451559105,T01vsT02,AL_07,
S028,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9399915795427434,T01vsT02,AL_07,
S027,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.8063687418366174,T01vsT02,AL_07,
S025,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9213747213196778,T01vsT02,AL_07,
S024,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.947554779384838,T01vsT02,AL_07,
S023,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9923668924473102,T01vsT02,AL_07,
S022,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.817663691294064,T01vsT02,AL_07,
S021,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.8837823054535245,T01vsT02,AL_07,
S020,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9811557017546121,T01vsT02,AL_07,
S018,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9857506123444423,T01vsT02,AL_07,
S017,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9460724446253209,T01vsT02,AL_07,
S016,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9788791493473588,T01vsT02,AL_07,
26CAMINO3920,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.8033061217852244,T01vsT02,AL_07,
41TPEF4693,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9584202184222719,T01vsT02,AL_07,
07CAMINO6124,Left-Basal-nucleus_AND_Left-Lateral-nucleus,0.9519181077430485,T01vsT02,AL_07,
S038,L_Area_TG_dorsal,0.9687220025994102,T01vsT02,AL_07,
S037,L_Area_TG_dorsal,0.9921302575229151,T01vsT02,AL_07,
S036,L_Area_TG_dorsal,0.9362870673988988,T01vsT02,AL_07,
S035,L_Area_TG_dorsal,0.7414229363269274,T01vsT02,AL_07,
S034,L_Area_TG_dorsal,0.9379497870141584,T01vsT02,AL_07,
S033,L_Area_TG_dorsal,0.8869018424952785,T01vsT02,AL_07,
S032,L_Area_TG_dorsal,0.8986783290791893,T01vsT02,AL_07,
S031,L_Area_TG_dorsal,0.7972829545187642,T01vsT02,AL_07,
TOT7729F,L_Area_TG_dorsal,0.48268394827103694,T01vsT02,AL_07,
S029,L_Area_TG_dorsal,0.9146589200141486,T01vsT02,AL_07,
S028,L_Area_TG_dorsal,0.9803887923855674,T01vsT02,AL_07,
S027,L_Area_TG_dorsal,0.9313820054152739,T01vsT02,AL_07,
S025,L_Area_TG_dorsal,0.9720536880809441,T01vsT02,AL_07,
S024,L_Area_TG_dorsal,0.9631386509398859,T01vsT02,AL_07,
S023,L_Area_TG_dorsal,0.9911142416452875,T01vsT02,AL_07,
S022,L_Area_TG_dorsal,0.8514665070717793,T01vsT02,AL_07,
S021,L_Area_TG_dorsal,0.7960268315515828,T01vsT02,AL_07,
S020,L_Area_TG_dorsal,0.9526513603437444,T01vsT02,AL_07,
S018,L_Area_TG_dorsal,0.993444384187454,T01vsT02,AL_07,
S017,L_Area_TG_dorsal,0.963034252963767,T01vsT02,AL_07,
S016,L_Area_TG_dorsal,0.7860011995481087,T01vsT02,AL_07,
26CAMINO3920,L_Area_TG_dorsal,0.963473845021382,T01vsT02,AL_07,
41TPEF4693,L_Area_TG_dorsal,0.8623479297140881,T01vsT02,AL_07,
07CAMINO6124,L_Area_TG_dorsal,0.8994505471094129,T01vsT02,AL_07,
S038,L_Area_8BM,0.9982320985485373,T01vsT02,AL_07,
S037,L_Area_8BM,0.9964240587094677,T01vsT02,AL_07,
S036,L_Area_8BM,0.9921840991214222,T01vsT02,AL_07,
S035,L_Area_8BM,0.9953138634182835,T01vsT02,AL_07,
S034,L_Area_8BM,0.9930033856280837,T01vsT02,AL_07,
S033,L_Area_8BM,0.9942625158020161,T01vsT02,AL_07,
S032,L_Area_8BM,0.9981194632445416,T01vsT02,AL_07,
S031,L_Area_8BM,0.9960798354137127,T01vsT02,AL_07,
TOT7729F,L_Area_8BM,0.9925096215299033,T01vsT02,AL_07,
S029,L_Area_8BM,0.9911125416625088,T01vsT02,AL_07,
S028,L_Area_8BM,0.9920885203475598,T01vsT02,AL_07,
S027,L_Area_8BM,0.9905098067862232,T01vsT02,AL_07,
S025,L_Area_8BM,0.9919190443684446,T01vsT02,AL_07,
S024,L_Area_8BM,0.9964873112744111,T01vsT02,AL_07,
S023,L_Area_8BM,0.9996081928091632,T01vsT02,AL_07,
S022,L_Area_8BM,0.9898342334448933,T01vsT02,AL_07,
S021,L_Area_8BM,0.9949532266540252,T01vsT02,AL_07,
S020,L_Area_8BM,0.9949825749575875,T01vsT02,AL_07,
S018,L_Area_8BM,0.9988338622832305,T01vsT02,AL_07,
S017,L_Area_8BM,0.9949086457099269,T01vsT02,AL_07,
S016,L_Area_8BM,0.9912451286704399,T01vsT02,AL_07,
26CAMINO3920,L_Area_8BM,0.9975147490897099,T01vsT02,AL_07,
41TPEF4693,L_Area_8BM,0.9950784849469376,T01vsT02,AL_07,
07CAMINO6124,L_Area_8BM,0.9965603227206171,T01vsT02,AL_07,
S038,L_Area_9_Middle,0.9935553339280855,T01vsT02,AL_07,
S037,L_Area_9_Middle,0.9945732551596251,T01vsT02,AL_07,
S036,L_Area_9_Middle,0.9851598257979748,T01vsT02,AL_07,
S035,L_Area_9_Middle,0.9926399380072709,T01vsT02,AL_07,
S034,L_Area_9_Middle,0.9910805404221539,T01vsT02,AL_07,
S033,L_Area_9_Middle,0.9949624156755648,T01vsT02,AL_07,
S032,L_Area_9_Middle,0.9967003254390744,T01vsT02,AL_07,
S031,L_Area_9_Middle,0.9771027598789868,T01vsT02,AL_07,
TOT7729F,L_Area_9_Middle,0.9928207880341748,T01vsT02,AL_07,
S029,L_Area_9_Middle,0.9962558465423081,T01vsT02,AL_07,
S028,L_Area_9_Middle,0.9870010512404344,T01vsT02,AL_07,
S027,L_Area_9_Middle,0.9815274319605358,T01vsT02,AL_07,
S025,L_Area_9_Middle,0.9830383905335327,T01vsT02,AL_07,
